COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & EXPOSURE,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Probability,Current Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LACK OF COPING CAPACITY,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Countries in HVC,Recentness data (average years)
North Macedonia,MKD,2.8,Low,131,3.333333333,2,3,6.5,4.2,0,0,0,3.8,3.6,0.9,0.1,1.7,2.6,2,1.7,2,2.7,3.1,5,0.1,0.3,0,1.6,0.5,4.1,5.6,x,5.6,2.1,1.8,1.7,2.9,5,0.098039216,,0.375
Norway,NOR,1.9,Very Low,175,4.387878788,2,2.9,0.4,5.9,0,0,6.6,2.2,2.2,1,0,1.9,2.5,0.1,0,0.5,0,4.3,6.8,0.1,0.2,0,1.1,0.4,1.4,1.6,1.5,1.7,1.2,1.6,1.9,0.2,11,0.215686275,,0.272727273
Oman,OMN,2.5,Low,149,3.788505747,3.2,4.8,0.1,2,9,3.8,5.6,3.4,4.9,1.1,0.4,1.7,1.4,1.7,1.6,3.6,0,1,1,0.1,1.7,0,1.7,0.9,3.5,4.5,x,4.5,2.3,1.1,3.4,2.5,8,0.156862745,,0.310344828
Pakistan,PAK,6.4,High,21,4.393939394,8.4,7.4,9.2,9.5,6.1,7.1,4.4,5,7.4,9.1,10,7.5,5.7,5.3,7.9,4.1,1.2,6.1,7.6,1.8,4.9,3.6,5.4,4.1,5.5,5.9,5,6.8,5.1,5.2,4.7,5.3,5,0.098039216,YES,0.409090909
Palau,PLW,2.2,Low,161,5.6,1.2,2.3,0.1,0,4.4,0.5,4.4,3.5,2,0,0,0,2.7,3.6,2.1,x,6.7,1.7,1.2,0.9,1.7,0,5,2.1,3.3,4.5,4.9,4.1,1.9,1.3,1.4,3,19,0.37254902,,0.3
Palestine,PSE,6.4,High,21,8.760233918,7.7,1.6,4.7,0,0.9,0,0,0,4.1,9.9,10,9.8,6.2,3.7,2.5,2.2,7.5,7.8,10,0,0.8,0,3.2,1.1,5.4,7.8,8.2,7.4,1.3,2,0.1,1.7,14,0.274509804,YES,0.614035088
Panama,PAN,4.1,Medium,77,3.070967742,3.4,5.2,7.8,0.2,8.5,0,5.9,1.2,6.2,1,0.2,1.7,3.6,2.5,1.6,5.6,1,4.5,6.8,0.9,0.8,0.7,1.3,0.9,5.6,7.6,9,6.1,2.5,1.6,3.7,2.3,7,0.137254902,,0.225806452
Papua New Guinea,PNG,6.5,High,20,3.516666667,6.3,6,9.2,4.6,7.1,2.8,6.3,2.5,5.9,6.5,8.3,3.5,6,6.4,8,8.1,1.4,5.6,6.2,5.7,4.7,0.2,7.3,4.9,7.1,5.3,3.8,6.8,8.3,7.2,9.6,8,6,0.117647059,,0.359375
Paraguay,PRY,3,Low,117,3.583333333,1.9,2.6,0.1,5.6,0,0,0,3.9,5.6,1.2,0.6,1.8,2.9,3.6,4.1,5.4,0.6,2.1,3.1,1.3,0.8,0.3,1.4,1,5,6.6,6.3,6.8,2.7,1.8,3,3.2,5,0.098039216,,0.421875
Peru,PER,4.6,Medium,59,2.564102564,4.7,6.5,9.6,6.5,9.1,0,3.3,4.4,5.6,2.2,0.8,3.4,5.3,3.3,4.1,4.3,0.6,6.8,9.2,1.1,0.9,1,2.3,1.3,4,4.2,1.8,6.5,3.7,2.1,4.3,4.8,5,0.098039216,,0.230769231
Philippines,PHL,5.4,High,35,3.089552239,8.1,8.2,9.7,6.7,9.4,9.2,8.9,3.8,6.1,8,9.5,5.1,5,3.7,4.5,4.6,1.3,6,5.9,3.9,2.9,10,1.8,6.1,3.8,4.3,2.9,5.7,3.3,1.6,2.6,5.6,3,0.058823529,,0.313432836
Poland,POL,2.5,Low,149,3.503448276,2.1,2.8,0.8,5.9,0,0,5.7,2.4,2.6,1.4,0.1,2.6,3.6,0.6,0.4,1.2,0.4,5.8,8.5,0.1,0.3,0.1,0.9,0.4,2.1,3.1,1.7,4.5,1,1.2,0.7,1.2,9,0.176470588,,0.206896552
Portugal,PRT,1.9,Very Low,175,3.579661017,1.9,3.2,3.4,3.8,4.3,0,4.6,3.3,2.3,0.4,0.1,0.6,2.2,0.7,0.5,1.7,0.1,3.4,5.6,0.4,0.2,0.4,0.5,0.4,1.7,2.8,1.9,3.7,0.5,1.5,0,0.1,8,0.156862745,,0.271186441
Qatar,QAT,1.3,Very Low,187,5.646783626,1.5,2,0.1,0,0,0,3.5,4.7,4.1,0.9,0.1,1.7,1.1,1,0.5,2.7,0.1,1.1,1.7,0.3,0.4,0,1.2,0.5,1.2,1.7,0,3.4,0.6,0.4,0.2,1.1,11,0.215686275,,0.50877193
Romania,ROU,2.9,Low,126,3.602339181,2.4,3.4,6.1,6.1,0,0,2.9,2.8,3.3,1.3,0.1,2.3,2.9,1.6,1.5,2.7,0.6,4,6.4,0.4,0.5,0.1,0.3,0.3,3.6,5.3,x,5.3,1.3,1.4,0.9,1.7,10,0.196078431,,0.175438596
Russian Federation,RUS,4.4,Medium,64,5.187134503,7.7,5.1,4.2,8.4,4.2,2.2,5.3,6.1,3.1,9.2,10,7.9,3.5,1.4,1.6,2.5,0,5.2,7.8,0.4,0.4,0,0.8,0.4,3.1,4.3,1.5,7.1,1.6,0.6,3.6,0.7,11,0.215686275,YES,0.228070175
Rwanda,RWA,4.3,Medium,68,1.967149758,2.7,2.7,4,2.7,0,0,0,3.8,6,2.7,0.9,4.2,5.7,6.1,8,5,3.4,5.3,6.4,3.1,2.3,0.2,7.6,3.9,5,4.3,x,4.3,5.6,5.5,5.6,5.8,1,0.019607843,,0.31884058
Saint Kitts and Nevis,KNA,1.8,Very Low,180,6.728682171,1.6,3,3.6,0,0,8.6,0,0,3.2,0,0,0,1.2,1,1.2,x,0.6,1.4,0.9,0,1.2,0,5.1,1.9,3,4.2,x,4.2,1.6,2.2,0.3,2.4,22,0.431372549,,0.511627907
Saint Lucia,LCA,2.6,Low,140,5.890909091,1.9,3.5,4.4,0,0,8,2.6,0.5,4.7,0,0,0,2.5,3.7,3.4,4.7,3.2,1,0,0,1,0.8,5.1,2,3.7,4.5,4.5,4.5,2.9,2.7,0.8,5.3,13,0.254901961,,0.454545455
Saint Vincent and the Grenadines,VCT,3,Low,117,5.986928105,1.8,3.3,4.8,0,0,7.8,1.8,0.5,4.1,0,0,0,3.4,3.6,2.6,5.2,3.9,3.1,0,0.2,0.8,10,1.8,5.3,4.2,5.6,6.9,4.3,2.4,2.4,0.5,4.2,16,0.31372549,,0.37254902
Samoa,WSM,3,Low,117,5.192982456,1.7,3.1,4.4,0,4.2,6.3,0,0.5,3.6,0,0,0,3.9,5.9,4.6,4.4,9.8,1.1,0,4.9,1,0,1.5,2.1,3.9,4.2,4.3,4,3.5,2.5,1.6,6.5,10,0.196078431,,0.473684211
Sao Tome and Principe,STP,2.4,Low,155,2.690909091,0.7,1.4,0.1,0,0,0,2.1,0,5.8,0,0,0,3.8,5.7,6,5.3,5.6,1.2,0,2,1.2,0.1,4.9,2.2,5.4,6.2,x,6.2,4.4,3.4,4.6,5.3,1,0.019607843,,0.454545455
Saudi Arabia,SAU,2.4,Low,155,3.512643678,2.6,3.5,1.8,4.8,0,0,4.7,5,5.7,1.7,0.8,2.6,2.1,1,0.5,3.1,0,3.1,5,0.1,0.7,0,1,0.5,2.5,3.3,2.7,3.8,1.7,1,3.4,0.7,8,0.156862745,,0.25862069
Senegal,SEN,4.4,Medium,64,1.7352657,3.3,4.6,0.1,6.3,3.9,0,5.5,6.6,6.3,1.8,0.4,3,4.8,6.3,8.4,4.8,3.5,2.9,3.9,1.5,3,0.3,1.8,1.7,5.4,5.2,x,5.2,5.5,4.7,5.4,6.3,1,0.019607843,,0.275362319
Serbia,SRB,3.4,Medium,98,4.041025641,2.7,3.3,5.3,7.7,0,0,0,3,3.2,2.1,0.1,3.7,3.4,1.4,1,1.8,1.9,5,7.7,0.2,0.3,0.1,0.3,0.2,4.2,6.2,6.5,5.8,1.5,1.4,1.2,1.9,5,0.098039216,,0.507692308
Seychelles,SYC,1.3,Very Low,187,6.4,1.2,2.2,0.1,0,7.8,0,0,0,2.8,0,0,0,0.9,1.5,1.9,1.8,0.2,0.3,0,0.2,1,0,0.9,0.5,2.2,3.3,x,3.3,0.9,0.6,0.8,1.4,9,0.176470588,,0.789473684
Sierra Leone,SLE,4.9,Medium,48,2.070588235,3,3.7,0.1,5.8,2.9,0,4.7,0.9,7.7,2.2,0.2,3.9,5.4,6.7,9,5.5,3.2,3.8,2.1,6.2,5.3,0.3,7.1,5.2,7.1,7,x,7,7.1,6.9,7.8,6.7,1,0.019607843,,0.338235294
Singapore,SGP,0.6,Very Low,191,4.921212121,0.6,1.1,0.1,0,0,0,2,0,4.6,0,0,0,0.5,0.1,0,0.5,0,0.9,1.1,0.4,0.2,0,2,0.7,0.9,1,x,1,0.7,0.8,0,1.2,13,0.254901961,,0.272727273
Slovakia,SVK,2.8,Low,131,3.80952381,1.9,2.4,3.8,6.8,0,0,0,1.3,2.2,1.4,0.1,2.5,2.9,0.9,0.9,1.3,0.5,4.5,6.9,0.1,0.5,0,2.3,0.8,4.2,6.5,8.2,4.8,0.8,1.6,0.1,0.6,10,0.196078431,,0.214285714
Slovenia,SVN,2.5,Low,149,4.647619048,2.1,3.2,5.9,5.5,3.5,0,3,0.9,2,0.9,0,1.7,2.8,0.2,0,0.4,0.2,4.8,4.3,0.1,0.2,10,1.7,5.2,2.6,3.9,4.3,3.5,1,1.6,0.1,1.2,11,0.215686275,,0.321428571
Solomon Islands,SLB,4.4,Medium,64,4.840677966,3.1,5.3,7.1,0,7.8,3.6,6.8,2.9,5.5,0.1,0.1,0,4.6,6,6.8,3,7.2,2.8,1.7,5.3,2.5,1.5,5.2,3.8,5.8,5.4,4.7,6.1,6.1,4.9,7.8,5.6,9,0.176470588,,0.457627119
Somalia,SOM,8.4,Very High,2,4.645833333,8.6,6.6,1.2,7.8,6.7,1.8,5.9,9.9,6.4,9.7,10,9.2,9.4,9.3,10,9,8.3,9.4,10,2.1,8.2,10,9.4,8.5,7.3,6.9,4.7,9.1,7.7,7,7.3,8.9,8,0.156862745,YES,0.296875
South Africa,ZAF,4.8,Medium,56,2.742857143,5.3,4,1.5,3.2,1,1.3,2.8,8.8,4.5,6.4,8.1,3.8,4.3,4.2,4.5,7.4,0.4,4.4,5.8,5.2,1.9,0.2,2.8,2.7,4.9,6.1,6.4,5.7,3.3,1.9,3.7,4.4,0,0,,0.514285714
South Sudan,SSD,8.5,Very High,1,6.520833333,7.3,3.9,2.7,7.8,0,0,0,3.7,7.4,9.1,9.8,8,9.1,9.1,10,6.3,10,9.1,10,5.9,6.9,10,5.2,7.6,9.3,9.5,x,9.5,9.1,9.1,9.6,8.6,8,0.156862745,YES,0.578125
Spain,ESP,2.6,Low,140,3.980952381,2.3,3.9,2.9,6.4,4.6,0,4.9,4.4,2.7,0.4,0.1,0.6,3.2,0.4,0,1.5,0.1,5.2,7.9,0.2,0.2,0.1,1,0.4,2.4,4,x,4,0.5,1.2,0,0.3,11,0.215686275,,0.196428571
Sri Lanka,LKA,3.6,Medium,89,3.353535354,3,3.9,0.1,1.9,8,2.2,3.3,3.2,5.1,1.9,0.4,3.2,3,2.9,3.2,4.1,1.1,3.1,3.3,0.3,2.6,5.5,2,2.8,5,6.5,6.7,6.2,3,2.4,2.8,3.9,5,0.098039216,,0.378787879
Sudan,SDN,7.8,Very High,7,4.694835681,8.3,4.1,0.1,8.6,0,0,0.8,6,6.3,10,10,10,7.4,5.9,8.5,4.8,1.8,8.4,10,1.5,5.7,6.9,3.2,4.7,7.7,8.4,7.9,8.8,6.8,6.1,8,6.4,0,0,YES,0.704225352
Suriname,SUR,3.1,Low,113,3.698360656,1.9,3.4,0.1,8.6,0,0,1.5,1.3,6.1,0.1,0.1,0,3.1,3.6,4.1,4.5,1.8,2.5,3.2,1.1,1.4,0.4,3.5,1.7,5.1,6.5,x,6.5,3.4,1.5,3.7,5.1,6,0.117647059,,0.393442623
Sweden,SWE,2.1,Very Low,166,4.674213836,2.2,2.6,0.1,6.3,0,0,5.8,1.3,1.4,1.8,0.2,3.1,2.9,0.2,0,0.8,0.1,4.9,7.5,0.1,0.2,0,1.5,0.5,1.4,1.9,x,1.9,0.9,1.4,1,0.3,13,0.254901961,,0.226415094
Switzerland,CHE,1.8,Very Low,180,4.457142857,1.3,2.3,4.6,5.9,0,0,0,0.9,2.1,0.1,0,0.2,2.9,0.4,0,1.2,0.2,4.8,7.4,0.1,0.3,0.1,1.2,0.4,1.5,2.4,3.4,1.3,0.6,1.5,0,0.3,11,0.215686275,,0.285714286
Syria,SYR,7.7,Very High,10,4.852459016,8.5,5,7.3,6.3,2.3,0,2.1,7.8,5.5,10,10,10,7.7,6,6.9,3.5,6.7,8.9,10,0.5,2,10,8.2,6.9,7,8.7,x,8.7,4.1,3.8,2.8,5.6,8,0.156862745,YES,0.327868852
Tajikistan,TJK,4,Medium,79,4.041025641,3.8,4.8,8.1,6.6,0,0,0,7.6,5.2,2.7,0.8,4.2,3.7,4.5,4.9,3,5,2.8,3.9,1.4,2,0,2.6,1.5,4.7,5.6,3.8,7.3,3.6,2.7,4.4,3.6,5,0.098039216,,0.507692308
Tanzania,TZA,4.9,Medium,48,1.855072464,3.4,4.2,4.4,4.2,3.1,0.7,3.2,5,7,2.5,1.7,3.3,5.5,5.9,8.4,5.4,1.5,5.1,6.1,4.5,2.8,2.4,5.8,4,6.2,5.7,5.4,5.9,6.6,5.3,8.3,6.2,0,0,,0.347826087
Thailand,THA,4.3,Medium,68,2.278787879,6,5.9,1.7,9.8,5.8,1.6,5.5,5.5,5.7,6,7.7,3.5,3.7,1.7,1.6,3.3,0.3,5.3,7.6,1.1,1.1,1.8,2.3,1.6,3.7,4.9,4.1,5.7,2.3,1,1.9,4,4,0.078431373,,0.227272727
Timor-Leste,TLS,3.8,Medium,86,5.333333333,2.2,3.3,5.7,0,3.9,0.5,3.3,2,5.8,0.9,0,1.7,4.6,6,7.8,3.2,5.1,2.7,1.5,3.3,5.4,0,5.1,3.7,5.6,6.2,x,6.2,4.9,4,5.1,5.6,5,0.098039216,,0.769230769
Togo,TGO,5.4,High,35,1.980952381,4.6,2.4,0.1,3,0,0,0.7,1.3,7.6,6.3,7.1,5.3,5.3,6,7.8,5.5,2.7,4.4,5.5,3.8,4,0.2,3.7,3.1,6.6,6.3,6,6.5,6.8,5.8,7.5,7.1,0,0,,0.371428571
Tonga,TON,3.4,Medium,98,5.324137931,2.2,3.9,7.1,0,5.7,5.6,0,0.5,4.4,0,0,0,4.1,4.7,2.6,3.4,10,3.5,0,2.1,0.5,10,4.2,5.9,4.5,5.9,6.6,5.2,2.7,2.9,0.2,4.9,11,0.215686275,,0.448275862
Trinidad and Tobago,TTO,3,Low,117,4.751515152,2.4,3.9,5.8,0,0,5.7,2.7,2.8,6.9,0.5,0.2,0.8,3.2,1.7,1.6,3.5,0.2,4.4,6.3,0.8,1.2,1.6,3.2,1.7,3.5,5.2,4.9,5.5,1.3,1.9,0.3,1.7,12,0.235294118,,0.290909091
Tunisia,TUN,3.3,Medium,103,2.416161616,3.2,4.3,5.4,3.7,5.9,0,6.5,3.9,3,1.9,0.5,3.2,2.5,2.6,2.6,2.7,2.6,2.3,3.9,0.3,0.7,0,0.2,0.3,4.5,5.9,x,5.9,2.8,2.3,2.5,3.7,3,0.058823529,,0.303030303
Türkiye,TUR,5.5,High,32,8.444444444,7.2,5.4,9.3,6,5,0,4.6,2.6,5.3,8.4,8.8,7.9,5.3,1.6,0.9,4.2,0.4,7.5,9.2,0.2,0.5,9.3,1.2,4.4,4.4,6.1,x,6.1,2.1,1.7,1.9,2.8,12,0.235294118,YES,0.666666667
Turkmenistan,TKM,3.1,Low,113,5.307526882,3,4.2,3,8.3,0,0,4.3,4.7,5.2,1.5,0.3,2.5,1.9,1.5,1.7,2.4,0.1,2.3,3.5,0.3,1.9,0,1.8,1,5.2,6.5,5,7.9,3.5,4.4,3.2,2.9,7,0.137254902,,0.64516129
Tuvalu,TUV,2.8,Low,131,6.4,1.3,2.5,0.1,0,5.8,0.2,0,4.3,4.6,0,0,0,3.6,4.7,4.2,3.5,7,2.2,0,7.7,1.1,0,4.2,4,4.8,6.3,6.7,5.9,2.8,2.7,0.6,5.1,14,0.274509804,,0.5
Uganda,UGA,5.7,High,30,1.676190476,4.1,3.7,3.7,3.9,0,0,0,6.2,7.7,4.4,4.2,4.5,6.9,6.1,8.2,5.7,2.1,7.5,8.9,6.3,2.4,0.5,8.5,5.3,6.7,6.4,5.9,6.8,7,6.2,8.2,6.6,0,0,,0.314285714
Ukraine,UKR,5.6,High,31,6.284153005,8.1,3.1,2,6.2,0,0,5,2.4,3.8,10,10,10,6,3.2,1.8,1.4,7.6,7.8,10,1.3,0.7,0,2.4,1.1,3.7,5,3.9,6.1,2.1,1.4,1.4,3.5,10,0.196078431,YES,0.442622951
United Arab Emirates,ARE,2.1,Very Low,166,4.19047619,2.9,4.4,0.1,0.6,6,0.4,8.4,5,5.2,1,0.1,1.9,1,0.1,0,0.4,0,1.9,3.1,0.1,0.4,0,1.6,0.5,3,4.6,6.7,2.5,0.9,0.1,1.8,0.9,10,0.196078431,,0.285714286
United Kingdom,GBR,2.1,Very Low,166,3.878787879,2,3.5,0.1,5.7,1.9,0,8.3,1.6,2.4,0.3,0.1,0.4,2.9,0.4,0,1.6,0,4.8,7.4,0.1,0.3,0,1,0.4,1.6,2.3,1.7,2.8,0.8,1.5,0,0.9,12,0.235294118,,0.127272727
United States of America,USA,3.2,Medium,109,4.147126437,5.3,7,7.7,7.5,7.2,7.7,8.4,4.2,4.7,2.8,1.3,4.1,3.3,0.8,0,3.3,0,5.2,7.9,0.3,0.3,0,0,0.2,1.9,2.8,2.5,3.1,1,1.6,0.9,0.6,9,0.176470588,,0.327586207
Uruguay,URY,2.7,Low,135,4.935519126,1.5,2.8,0.1,3.9,0,0,3.8,3.4,6.2,0.1,0.1,0,4,1.6,1.4,3.6,0.1,5.8,6.3,0.7,0.5,10,1.2,5.2,3.2,4.6,6.3,2.9,1.4,1.1,2.4,0.8,9,0.176470588,,0.475409836
Uzbekistan,UZB,3.2,Medium,109,3.138461538,3.6,4.8,7,8.3,0,0,0,6.6,5.4,2.1,0.5,3.4,2.7,2.8,3.2,2.4,2.4,2.5,4.2,0.4,0.7,0,0.7,0.5,3.5,4.3,2.3,6.2,2.5,1.5,3.1,2.8,5,0.098039216,,0.338461538
Vanuatu,VUT,4.2,Medium,74,4.20952381,2.9,5.1,6.2,0,7,6.4,4.9,5,4.2,0,0,0,4.3,5.1,5.7,1.8,7.1,3.3,0,1.4,2,10,1.9,5.6,5.9,6.3,6.9,5.6,5.4,3.6,5.6,7,9,0.176470588,,0.339285714
Venezuela,VEN,5.8,High,27,6.777011494,6.1,5.9,8.1,5.7,5.4,5.6,6.7,2,5.9,6.2,7.1,5.2,4.5,4,4,6.9,1.1,5,6.8,1.3,1.9,0.3,5.5,2.5,7,8.6,x,8.6,4.4,2.8,3.6,6.9,13,0.254901961,,0.620689655
Viet Nam,VNM,4,Medium,79,2.75,5,7.3,3.5,9.9,5.9,5.9,9.6,4.5,6.7,1.2,0.2,2.1,2.9,2.8,3.4,3.9,0.4,3,3.6,1.2,2.1,4.3,1.2,2.3,4.3,5.4,x,5.4,3.1,1.6,3,4.8,5,0.098039216,,0.265625
Yemen,YEM,8.2,Very High,3,6.516129032,8,4.5,1.7,6,3.6,3.5,4.8,4.3,6.5,9.6,10,9,8.5,8.3,9.2,6.5,8.1,8.7,10,1.2,6.1,3.7,8.7,5.7,8.2,9.2,x,9.2,6.7,6.2,7.4,6.6,6,0.117647059,YES,0.677419355
Zambia,ZMB,4.6,Medium,59,1.54589372,2.3,3.1,2.5,4.8,0,0,0,5.1,6.3,1.4,0.2,2.5,6.6,6.3,7.9,6.8,2.6,6.9,5.7,5.8,3.5,10,8.5,7.8,6.6,6.9,7.6,6.2,6.2,5,7.7,5.9,0,0,,0.289855072
Zimbabwe,ZWE,5,Medium,44,1.391304348,3.4,4.1,1.8,3.6,0,0,0,9.7,5.1,2.6,0.5,4.3,6.1,5.9,7.3,6.6,2.3,6.3,4,4.5,3,10,9,7.8,6.1,5.8,3.9,7.6,6.4,4.9,7.9,6.5,0,0,,0.260869565